property_title,postal_code,monthly_price,weekly_price,bedroom,baths,tenants,location,deposit,rent,bills_included,students only,student_friendly,families_allowed,pets_allowed,smokers_allowed,available_from,minimum_tenancy,garden,parking,fireplace,furnishing,url,epc_rating,description
"Room in a Shared House, St. Mary's Avenue, E11",E11,£700.00,£161.54,8,2,1,London,£700.00,£700.00,Yes,-,No,No,No,No,Today,3 Months,Yes,Yes,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-st-marys-avenue-e11/2213144,,"2 large Double-rooms(£900pcmand£825pcm) and1 Single-room(£700) available on the most exclusive and leafy street in the highly desired suburb of Wanstead.Deposit:Onemonth's rent.Location:Excellent transport links to the City and Central London.~20-min tube journey to Liverpool Street Station.Short walk to Wanstead Underground Station.~3-minute walk to Wanstead High Street.Features:Front drive parkingLarge rear garden2 bathrooms (common area)Fully fitted kitchen and dining area (common area)All bills included:Council taxWaterGasElectricWifi.Ideal for professionals aged 25+. Currently, there are five male tenants, all long-term.We will require that you pass all reference checks.This is a quiet and civilised household, where we expect that tenants get along and respect one another's space and privacy. We also expect tenants to follow our 'Rules and Guidance for Tenants', which they will receive as part of their tenancy agreement.Rooms will be inspected on a regular basis."
"Room in a Shared House, Forest Drive East, E11",E11,£950.00,£219.23,6,2,1,London,£950.00,£950.00,Yes,-,Yes,No,No,No,Today,3 Months,Yes,Yes,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-forest-drive-east-e11/2219039,,"This lovely bright & spacious double room has a high ceiling and large windows. This room is located at the front of a beautiful double fronted victorian home.The property also has a spacious living room, large kitchen, dining room and lovely garden perfect for BBQ’S & relaxation. The five housemates are a friendly happy group of male & female professionals. The house is kept very clean & tidy by the tenants and the atmosphere is relaxed & friendly.Gas, electric, council tax, water rates, & high-speed internet are all included. The property also benefits from being professionally cleaned once a fortnightNearby Transport & Amenities:• Leytonstone Central Line Tube• Leytonstone Rail Station• Stratford - Westfield Shopping Centre – short journeyby train or bus.• Whipps Cross Hospital – 2-minute walk• Leytonstone School - 2-minute walk• 24hr Tesco superstore, variety of pubs, shops & restaurantsin the nearby high street.• Bus routes to Walthamstow, Stratford & Hackney.• Lovely forest area with boating lake; perfect for walks,exercising or relaxing – close walking distanceFamous Sir Alfred Hitchcock Hotel, pub & restaurant - walking distanceReferences required"
"2 Bed Flat, St. Aubyns, E11",E11,"£2,295.00",£529.62,2,1,3,London,"£2,648.07","£2,295.00",No,-,Yes,Yes,Yes,No,"16 September, 2024",6 Months,Yes,Yes,Yes,Unfurnished,http://openrent.co.uk/property-to-rent/london/2-bed-flat-st-aubyns-e11/2175957,,"This beautifully presented two double bedroom third floor apartment (with lift) is situated within a sought after development, very close to Snaresbrook Central Line Tube station with stunning views over Eagle Pond and Snaresbrook Crown Court. Perfect for shoppers as Stratford Westfield Shopping Centre is only 10 min away, Commuting to Docklands only 15 min away and to the city merely 20 min away. The apartment has full Gas Central Heating with benefit of Brand New Gas Boiler, Security Video Entry Phone  system, Double Glazed Throughout, Separate Shower, Fitted Kitchen Appliances including Washing Machine and Dishwasher. along with Fitted Wardrobes and part wood flooring. The property is a very rare south facing apartment which is perfect for the long summer evenings overlooking the beautiful pond opposite. Only a short stroll away you will find yourself among the many shops, trendy cafes and restaurants. Stunning landscaping within a stroll to Epping Forest and Hollow Ponds. Apartment benefits from a large 15ft terrace, and parking. Very rare unrestricted views of the water full of Swans which create a feeling of tranquility and relaxation ."
"1 Bed Flat, Drayton Road, E11",E11,"£1,400.00",£323.08,1,1,2,Leytonstone,"£1,615.38","£1,400.00",No,-,Yes,Yes,No,No,Today,6 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/leytonstone/1-bed-flat-drayton-road-e11/2194918,,"We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.Available to move in from 20 August 2024. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £1,400.00 per month (£323.08 per week)Deposit / Bond is £1,615.38Minimum tenancy is 6 monthsMaximum number of tenants is 2"
"1 Bed Flat, Hermon Hill, E11",E11,"£1,550.00",£357.69,1,1,2,London,"£1,788.46","£1,550.00",No,-,No,Yes,No,No,"01 November, 2024",12 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/1-bed-flat-hermon-hill-e11/2215426,,"Key features1 BED FLAT - FURNISHEDACCESS TO COMMUNAL GARDENSPERIOD CONVERSIONMOMENTS FROM WANSTEAD HIGH STREETVERY CLOSE TO SNARESBROOK STATIONMODERN KITCHEN WITH APPLIANCESGAS CENTRAL HEATINGMODERN BATHROOMDOUBLE GLAZEDPERMIT PARKINGProperty descriptionREFURBISHED and available FULLY-FURNISHED. A bright, spacious one-bedroom apartment on the ground floor of a substantial Victorian townhouse. The property boasts a large living room with an open-plan kitchen with modern fitted appliances. Access to the rear garden via the kitchen door. Wooden flooring throughout.Modern bathroom. Gas Central Heating, Double Glazed and Newly Decorated. With large communal gardens, you are perfectly placed for local transport links (Stratford in 15 minutes and Liverpool Street in 20 minutes), the amenities of Wanstead High Street and Epping Forest's open green space.Set among Wanstead's much sought-after broad, sweeping avenues, you also have the bars, gastropubs and restaurants of Wanstead High Street just moments away, as is Snaresbrook underground station with fast, direct links to the City and West End.Available to move in from Mid or end of October .Viewing is highly recommended. Viewing day Saturday 14th between 12 - 2 pm. Contact OpenRent today for more details or to arrange a viewing!"
"Room in a Shared House, Southwest Road, E11",E11,£820.00,£189.23,2,2,2,London,£820.00,£820.00,Yes,-,Yes,No,No,Yes,Today,3 Months,Yes,Yes,No,At tenant choice,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-southwest-road-e11/2181755,,"Large double room on the first floor of a beautiful period property with high ceilings in a desirable and convenient residential location of Leytonstone.Close to Epping Forest, Hollow Ponds and the Bushwood ""cruising"" conservation area.Also close to Whipps Cross Hospital and local amenities (shops, restaurants, cafes and banks).Short walk to Leyton Midland Road Station (London Overground) and Leytonstone Station (Central line).All bills included (gas, electric, water & council tax).High speed Wi-Fi provided on a complementary basis.Suitable for a single person only (no couples).No preference regarding gender or , MUST be in full time employment with some consideration to students. No UC sadly and difficult access so wouldn't be suitable for those with a disablity.No smoking and no pets allowed.NO AGENTS PLEASEViewings by appointment only after initial phone/ video call."
"Room in a Shared House, Forest Road, E11",E11,£800.00,£184.62,4,2,1,London,£800.00,£800.00,Yes,-,Yes,No,No,No,Today,6 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-forest-road-e11/2225295,,"Double Room in a 4 bed terrace house with shared living room, kitchen and conservatory.All bills are included and we have a bi-weekly cleaner. Earliest move in date 17th January.Details:Close proximity to Leytonstone underground station and Leyton Midland Overground.GardenConservatory2 toiletsKitchen:2 fridges and 2 freezersWashing machine / Tumble dryerTesco superstore close by and Leytonstone High Street within a short walking distanceShort walk to Waltham Forest lake and park"
"Room in a Shared House, Forest Drive West, E11",E11,"£1,050.00",£242.31,1,1,1,London,"£1,211.53","£1,050.00",Yes,-,Yes,No,No,No,Today,12 Months,No,No,No,Unfurnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-forest-drive-west-e11/2214978,,"Large double room with en suite on the second floor of a beautiful period property in a desirable and convenient residential location of Leytonstone.Close to Epping Forest, Hollow Ponds and the Bushwood conservation area.Also close to Whipps Cross Hospital and local amenities (shops, restaurants, cafes and banks).Short walk to Leyton Midland Road Station (London Overground) and Leytonstone Station (Central line).All bills included (gas, electric, water & council tax).High speed Wi-Fi provided on a complementary basis.Suitable for a single person only (no couples).Female preferred, MUST be in full time employment.No smoking, no alcohol, no pork and no pets allowed.NO AGENTS PLEASEViewings by appointment only."
"1 Bed Flat, Cave Road, E13",E13,"£1,600.00",£369.23,1,1,2,London,"£1,600.00","£1,600.00",No,-,Yes,Yes,No,Yes,Today,6 Months,No,No,No,At tenant choice,http://openrent.co.uk/property-to-rent/london/1-bed-flat-cave-road-e13/2169123,,Council Tax Inclusive. Platinum Estates are pleased to present this 1 bedroom flat. Refurbished to a high standard.
"Room in a Shared House, Hollybush Street, E13",E13,"£1,000.00",£230.77,3,1,2,London,£0.00,"£1,000.00",Yes,-,Yes,Yes,No,Yes,Today,12 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-hollybush-street-e13/2203563,,"Looking for a peaceful and convenient place to live in Plaistow? I have two rooms available in my clean and well-maintained House, situated in an excellent location on the main Barking Road, E13.1. Double Room for 2 persons - £1000 per month ,500 each.This spacious and bright double room is perfect for someone who values comfort and space. The room is fully furnished and ready to move in. It's an ideal choice for individuals.Shared Facilities:1. 	Kitchen2. Sitting Room3. Lawn4. WashroomLocation:Situated in Zone 3, on the main Barking Road.Just 50 steps away from a bus stop with direct routes to Central London.Two train stations within walking distance (10 mins), with trains taking only 20 minutes to reach Central London.Close to local amenities, shops, and restaurants.This is a peaceful and well-kept house, ideal for professionals or students who are looking for a serene living environment with easy access to Central London."
"Room in a Shared House, Hollybush Street, E13",E13,"£1,200.00",£276.92,3,1,2,London,£400.00,"£1,200.00",Yes,-,Yes,Yes,No,Yes,Today,12 Months,Yes,No,Yes,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-hollybush-street-e13/2204244,,"Looking for a peaceful and convenient place to live in Plaistow? I have two rooms available in my clean and well-maintained House, situated in an excellent location on the main Barking Road, E13.1. Double Room for Couples - £1200 per monthThis spacious and bright double room is perfect for someone who values comfort and space. The room is fully furnished and ready to move in. It's an ideal choice for individuals.Shared Facilities:1.   Kitchen2. Sitting Room3. Lawn4. WashroomLocation:Situated in Zone 3, on the main Barking Road.Just 50 steps away from a bus stop with direct routes to Central London.Two train stations within walking distance (10 mins), with trains taking only 20 minutes to reach Central London.Close to local amenities, shops, and restaurants.This is a peaceful and well-kept house, ideal for professionals or students who are looking for a serene living environment with easy access to Central London."
"Room in a Shared House, Hollybush Street, E13",E13,"£1,200.00",£276.92,3,1,2,London,£400.00,"£1,200.00",Yes,-,Yes,Yes,No,Yes,Today,12 Months,Yes,No,Yes,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-hollybush-street-e13/2204247,,"Looking for a peaceful and convenient place to live in Plaistow? I have two rooms available in my clean and well-maintained House, situated in an excellent location on the main Barking Road, E13.1. Double Room for Couples - £1200 per monthThis spacious and bright double room is perfect for someone who values comfort and space. The room is fully furnished and ready to move in. It's an ideal choice for individuals.Shared Facilities:1.   Kitchen2. Sitting Room3. Lawn4. WashroomLocation:Situated in Zone 3, on the main Barking Road.Just 50 steps away from a bus stop with direct routes to Central London.Two train stations within walking distance (10 mins), with trains taking only 20 minutes to reach Central London.Close to local amenities, shops, and restaurants.This is a peaceful and well-kept house, ideal for professionals or students who are looking for a serene living environment with easy access to Central London."
"Room in a Shared House, Dongola Road, E13",E13,"£1,000.00",£230.77,6,2,1,London,£600.00,"£1,000.00",Yes,-,No,No,No,Yes,Today,3 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-dongola-road-e13/2214166,,A modern ensuite double bedroom is available for rent in PlaistowE13 0AZ£1000/monthdeposit: £600close to underground and bus stops
"2 Bed Flat, Darwin Court, E13",E13,"£1,800.00",£415.38,2,1,2,London,"£2,076.92","£1,800.00",No,-,Yes,Yes,No,No,"01 October, 2024",12 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/2-bed-flat-darwin-court-e13/2210947,,"We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location.Available to move in from 01 October 2024. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £1,800.00 per month (£415.38 per week)Deposit / Bond is £2,076.92Minimum tenancy is 12 monthsMaximum number of tenants is 2"
"Room in a Shared House, London, E13",E13,£850.00,£196.15,4,1,3,London,£850.00,£850.00,No,-,Yes,Yes,No,Yes,Today,3 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-london-e13/2163606,,"We are proud to offer this delightful room in a 4 bedroom, 1 bathroom shared house in a great location.Available to move in from 22 July 2024. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £850.00 per month (£196.15 per week)Deposit / Bond is £850.00Minimum tenancy is 3 monthsMaximum number of tenants is 3"
"Room in a Shared House, London, E13",E13,£850.00,£196.15,4,1,3,London,£850.00,£850.00,No,-,Yes,Yes,No,Yes,Today,3 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-london-e13/2224819,,"We are proud to offer this delightful room in a 4 bedroom, 1 bathroom shared house in a great location.Available to move in from 13 September 2024. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £850.00 per month (£196.15 per week)Deposit / Bond is £850.00Minimum tenancy is 3 monthsMaximum number of tenants is 3"
"2 Bed Penthouse, Jedburgh Rd, E13",E13,"£2,400.00",£553.85,2,1,2,London,"£2,769.23","£2,400.00",No,-,No,Yes,No,No,Today,12 Months,No,Yes,Yes,Furnished,http://openrent.co.uk/property-to-rent/london/2-bed-penthouse-jedburgh-rd-e13/2219838,,"A spectacular two bedroom penthouse apartment situated in the Sought after Spectacle Works E13 Development.The property boasts over a thousand square foot of of newly refurbished luxury living space on the top floor of a warehouse conversion, comprising a large open plan living area with double height ceilings and south facing windows, flooding the apartment with natural light all year round; a private terrace providing unrestricted views across London; a stylish modern fitted kitchen with an island work space; and two large bedrooms.The property is furnished to a high standard.The master bedroom has a superking bed and the second bedroom has a king size bed; both rooms have a wardrobe, chest of drawers and bedside cabinets.Spectacle Works is conveniently located near to an extensive array of local amenities, including cafes, restaurants, shops; and recreational facilities. A number of beautiful parks are within easy walking distance; and “the Greenway” provides a dedicated pedestrian / cycle path directly to nearby Stratford.The local community is vibrant and welcoming; and there is a Spectacle Works residents' facebook group.Local transport links include Plaistow, Canning Town and Stratford, providing easy access to all of London. Canary Wharf and City airport are within a 15 min drive.Council allocated on-street parking available; alternatively private parking spaces are available to rent within the development's secure carpark.Viewing highly recommended to truly appreciate this property."
"3 Bed Terraced House, Liddon Road, E13",E13,"£2,200.00",£507.69,3,1,3,London,"£2,200.00","£2,200.00",No,-,No,Yes,No,No,"04 October, 2024",12 Months,Yes,No,No,Unfurnished,http://openrent.co.uk/property-to-rent/london/3-bed-terraced-house-liddon-road-e13/2219359,,"We are proud to offer this freshly completelyREFURBISHED immaculate3 bedroom house with great transport links to Plaistow and Canning Town stations, outstanding local schools in catchment area and great GP and hospitals close by. The house has access to off street parking nearby. South facing garden gets a lot of sunlight. Plaistow Park is also nearby. Great access to local amenities and A13 motorway.Available to move in from October 4th.Property offered unfurnished.Only Washing Machine and cooker/oven available . Tenants are welcome to bring their own appliances."
"4 Bed Terraced House, Upperton Road West, E13",E13,"£3,000.00",£692.31,4,2,8,London,"£3,000.00","£3,000.00",No,Yes,-,No,Yes,Yes,Today,6 Months,No,No,No,Unfurnished,http://openrent.co.uk/property-to-rent/london/4-bed-terraced-house-upperton-road-west-e13/2180403,,"We are proud to offer this delightful 4 bedroom, 2 bathroom terraced house in a great location. Available to students only.Available to move in from 02 September 2024. Property is offered unfurnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £3,000.00 per month (£692.31 per week)Deposit / Bond is £3,000.00Minimum tenancy is 6 monthsMaximum number of tenants is 8"
"Room in a Shared Flat, London Rd, E13",E13,£700.00,£161.54,2,1,1,London,£700.00,£700.00,Yes,-,Yes,No,No,No,Today,6 Months,No,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-flat-london-rd-e13/2220578,,"We are proud to offer this delightful 1 single bedroom, shared with bathroom and kitchen with another bedroom in a great location. Just 3 mins to Plaistow Station.Available to move in from 11 September 2024. Property is offered furnished.Viewing highly recommended.SummaryRent £700per month (£161.54 per week)Deposit / Bond is £700Minimum tenancy is 6 monthsMaximum number of tenants is 1"
"1 Bed Terraced House, Wigston Road, E13",E13,"£1,500.00",£346.15,1,1,2,London,"£1,500.00","£1,500.00",No,-,Yes,Yes,No,No,Today,6 Months,No,No,No,Unfurnished,http://openrent.co.uk/property-to-rent/london/1-bed-terraced-house-wigston-road-e13/2152694,,"We are delighted to introduce this impeccable House situated in the heart of Plaistow with its charming E13Key Features:1 bedroom1 bathroomFully fitted kitchenLarge living roomClose to all amenities and transport ( 0.8 miles to Plaistow Station)Property Details:This property comes UNFURNISHED, offering a blank canvas for you to personalize to your taste. Available for immediate occupancy, it is ideally suited for a family or working professionals (subject to relevant permissions) seeking a comfortable living space.FeesYou will not be charged any admin fees for our servicesContact UsDon't miss the opportunity to view this exceptional property. Please contact us to arrange a viewing.Additional Information:- DSS is only partly accepted; tenants must be employed either part-time or full-time.- Strict background, credit, and landlord checks will be conducted on applicants.- The property has an Energy Performance Certificate (EPC) rating of ( E ).- The property holds a selective license with London Borough of Newham .As a commercial landlord, our membership to a Government approved Redress Scheme / To hold client money protection is voluntary. However, we are members of The Property Ombudsman"
"Studio Flat, Wigston Road, E13",E13,"£1,150.00",£265.38,1,1,1,London,"£1,150.00","£1,150.00",Yes,-,Yes,No,No,No,"01 October, 2024",12 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/studio-flat-wigston-road-e13/2225155,,"Newham Hospital walking distance, Many buses and all kind of shops nearby for regular shopping - can go to the Canning Town , Plaistow and Upton Park station within 10 mins by Bus. Very vibrant location!Brand new studio flat and own private entrance . Modern fitting wooden floor and Morden amenities! Don’t miss it , will go soon. ONLY for a single professional/Student !!More pictures are coming soon cos builders still working…"
"Studio Flat, Plaistow, E13",E13,"£1,200.00",£276.92,1,1,1,London,"£1,200.00","£1,200.00",Yes,-,Yes,No,No,No,Today,6 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/studio-flat-plaistow-e13/2202746,,"A brand new ground floor studio flat with  garden access . Fully furnished and all new appliances with washing machine, fridge freezer,microwave,and a 42 inch wall mounted tv. New fitted kitchen,shower,All bills inclusive. Great location. Currently main house occupied by females so would be suitable for single female."
"Room in a Shared House, Wanlip Road, E13",E13,£950.00,£219.23,5,4,1,London,"£1,096.15",£950.00,No,-,Yes,Yes,No,No,Today,12 Months,No,No,No,Unfurnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-wanlip-road-e13/2191161,,"Room available in a 5-bedroom, 4-bathroom shared house. Only 1 bedroom with shared bathroom is available. three females and 1 male are occupying 4 of the other rooms. Please contact us for further information."
"Room in a Shared House, Wanlip Road, E13",E13,£900.00,£207.69,5,3,3,London,"£1,038.46",£900.00,Yes,Yes,-,No,No,No,Today,12 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/room-in-a-shared-house-wanlip-road-e13/2195281,,"We have one last room remaining available in a five bedroom 4 bathroom HMO House. The rooms are available and they are £900, all bills included. Shaared two pieces of peace of bath and a toilet with the other two girls. Currently, there are three females and a male renting the other 4 bedrooms."
"3 Bed Flat, Bushey Road, E13",E13,"£2,450.00",£565.39,3,1,5,London,"£2,450.00","£2,450.00",No,-,Yes,Yes,No,Yes,Today,6 Months,No,Yes,No,At tenant choice,http://openrent.co.uk/property-to-rent/london/3-bed-flat-bushey-road-e13/2192595,,"THIS ENTIRE FLAT IS AVAILABLE FOR RENT AS A WHOLE AND THE MAXIMUM NUMBER OF TENANTS IS 5.Discover a spacious 3/4-bedroom flat nestled in the heart of Upton Park, available for £2450 per calendar month.This partly furnished home is tastefully adorned with modern furnishings, ensuring both comfort at your fingertips.Perfect for families or professionals seeking a blend of space and convenience,Parking is readily available, offering hassle-free access to your doorstep.Available for occupancy starting August 2nd 2024, this property promises a serene living environment in a sought-after location.Don't miss the opportunity to make this inviting flat your new home."
"4 Bed Terraced House, Western Road, E13",E13,"£2,700.00",£623.08,4,1,6,London,"£2,700.00","£2,700.00",No,-,Yes,Yes,Yes,Yes,Today,6 Months,Yes,Yes,No,Furnished,http://openrent.co.uk/property-to-rent/london/4-bed-terraced-house-western-road-e13/2222117,,"Newly refurbished cosy 4 Bedroom Victorian terrace house with the following features:Positioned conveniently for Plaistow and Upton Park tube station is only 3 mins walkQuick 15 mins connections to the cityNew fitted Kitchen2 Double bedrooms & 2 small double bedrooms1 Through loungeVery large gardenShed storagePermit-street parkingDouble GlazingMany local amenities including large food market, supermarkets, high street shops, pubs and restaurants.Stratford including Westfield shopping centre is a short bus ride offering excellent choice of shops, restaurants, good schools and leisure facilities.Ready to move in Furnished or unfurnished.Includes washer-dryer and large fridge freezer.Energy Performance Certificate (EPC), Electric and Gas safety certificates available.Ideal for family/working professionals. Students. Will need employer and previous landlord references month deposit registered in the government backed scheme plus a month rent in advance. No Agents. No R2R. Private- direct with the owner."
"Studio Flat, Prince Regent Lane, E13",E13,"£1,100.00",£253.85,1,1,2,London,"£1,100.00","£1,100.00",No,-,Yes,No,No,No,Today,12 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/london/studio-flat-prince-regent-lane-e13/2224792,,Property Features:Newly refurbished self contained studio flatShared gardenprivate toilet and showerFully furnishedBills are seperateideal for two working females/nurses or doctors.Close to Newham General HospitalReady to moveOne month rentOne month deposit
"4 Bed Terraced House, London, E15",E15,"£3,850.00",£888.46,4,3,6,London,"£4,442.30","£3,850.00",No,-,Yes,Yes,Yes,No,"26 September, 2024",12 Months,Yes,Yes,No,Furnished,http://openrent.co.uk/property-to-rent/london/4-bed-terraced-house-london-e15/2215541,,"propertyONLYfor:Family rental / Couple / Two individualsFantastic spacious recently refurbished house in an excellent quiet location close to Stratford station, Westfield shopping centre and all other amenities. There are 4 double bedrooms and a kitchen with a dining area. COMPLETE WITH DOWNSTAIRS TOILET AND GARDEN AREA. Open plan living + dining opening out into a garden with new bi-fold doors.Well maintained and close to all other amenities ( fitness centre etc).Ideal for professionals, young families and students. Family relationship or couples preferred.Off-street parking. Quiet residential area. High speed internet.Recently refurbished by award winning architects and interior designers.To avoid disappointment, all enquirers please provide as much information as possible about the number of tenants, requirements and employment details of each sharer. Genuine enquiries only. No agents accepted as this beautiful property is only offered via open rent. NO AGENTS WILL BE RESPONDED TO.This property has been kitted out to a high standard and is ready to move into immediately inc all fixtures and furnishings, internet, heating (inc NEST heating smart control), wardrobes, high speed broadband, ring doorbell, TVs, cooker, hob, washing machine, dryer amongst other amenities.There is high demand on the property and preference will be given to tenants from the same family or a couple with children. propertyONLYfor:Family rental / Couple / Two individuals"
"2 Bed Flat, Bryant Street, E15",E15,"£3,700.00",£853.85,2,1,5,London,£500.00,"£3,700.00",Yes,-,Yes,Yes,No,No,Today,1 Months,No,Yes,No,Furnished,http://openrent.co.uk/property-to-rent/london/2-bed-flat-bryant-street-e15/1940819,,"Modern 2 Bedroom Flat in Stratford, London Zone 2 is situated in London. Free WiFi is at guests' disposal throughout the property. The apartment is composed of 2 bedrooms, a fully equipped kitchen, and 1 bathroom. A flat-screen TV is offered. The accommodation is non-smoking.The property is a modern 2 bedroom flat equipped with every facility you will need for your stay. It is a quiet and very clean flat where you can have your own space to yourself for work and leisure. This new, centrally located, family-friendly, modern flat comes with 2 double bedrooms, 1 living room (with 1 single sofa bed), fully-equipped kitchen(with cooking utensils), dining area and a 3 piece suit shower/toilet.The flat also comes with a flat screen TV, USB charging points, wardrobes, chest of drawers, hairdryers, blackout blinds and clean sheets & towels. Accessibility can be gained via a key lock system. The beds are super relaxing and comfortable so you can get a good night's sleep.You can enjoy everything London has to offer! Spend your days discovering the surrounding areas there are many things to do nearby.Your HOME AWAY FROM HOME gives you exclusive access to an entire modern flat designed to allow you to live as a local. A self-catering house where you’ll find everything you need for a perfect stay.Located within 4 minutes walk of Stratford Station10 minutes walk to Stratford International13 minutes walk to University of East London10 minutes walk to London Olympic Stadium10 minutes train to North Greenwich12 minutes train to Canary Wharf22 minutes train to central LondonThere are loads of restaurants and shops on the high street, the famous WestField shopping centre is also just 5 minutes walk away from this flat."
"Bedsit, Startford, E15",E15,£650.00,£150.00,1,1,12,London,£650.00,£650.00,Yes,-,Yes,Yes,No,Yes,Today,12 Months,No,Yes,No,Furnished,http://openrent.co.uk/property-to-rent/london/bedsit-startford-e15/2203766,,"Single Room for Rent in a Cozy House!*Looking for a comfortable place to stay? A bright and spacious room is available in a friendly house, just a 2-minute walk from the station!*Room Features:*- Fully furnished with a bed, desk, and storage- Lots of natural light- Access to shared kitchen, living room, and bathroom- Quiet, safe neighborhood- Close to shops and public transportPerfect for students or professionals looking for a peaceful home.*Rent includes utilities.*"
"Bedsit, Startford, E15",E15,£725.00,£167.31,1,1,12,London,£725.00,£725.00,Yes,-,Yes,Yes,No,Yes,Today,12 Months,No,Yes,No,Furnished,http://openrent.co.uk/property-to-rent/london/bedsit-startford-e15/2203793,,"Spacious Double Room for Rent in a Friendly House!*Need extra space? A large, comfortable double room is now available in a welcoming house!*Room Features:*- Fully furnished with a double bed, wardrobe, and desk- Bright and airy with plenty of natural light- Access to shared kitchen, living room, and bathroom- Quiet, safe neighborhood- Only a 2-minute walk from the station- Close to shops, cafes, and public transportIdeal for couples or individuals seeking a spacious and cozy home.*Rent includes utilities.*"
"Bedsit, Startford, E15",E15,£600.00,£138.46,1,1,12,London,£600.00,£600.00,Yes,-,Yes,Yes,No,Yes,Today,12 Months,No,Yes,No,Furnished,http://openrent.co.uk/property-to-rent/london/bedsit-startford-e15/2224310,,"Spacious Double Room for Rent in a Friendly House!*Need extra space? A large, comfortable double room is now available in a welcoming house!*Room Features:*- Fully furnished with a double bed, wardrobe, and desk- Bright and airy with plenty of natural light- Access to shared kitchen, living room, and bathroom- Quiet, safe neighborhood- Only a 2-minute walk from the station- Close to shops, cafes, and public transportIdeal for couples or individuals seeking a spacious and cozy home.*Rent includes utilities.*"
"2 Bed Terraced House, Tavistock Road, E15",E15,"£2,100.00",£484.62,2,1,4,London,"£2,423.07","£2,100.00",No,-,Yes,Yes,Yes,Yes,Today,12 Months,No,No,No,Unfurnished,http://openrent.co.uk/property-to-rent/london/2-bed-terraced-house-tavistock-road-e15/2208487,,"Weoffer this 2 bedroom spacious family house with a good sized private rear garden. Located in a popular residential area in Stratford, London. Close to local amenities and excellent transport links.AvailableNOWand on an un/furnished basis. ( PS the images are of last year, viewings  strongly recommended)The house comprises:On Ground Floor:Entrance HallFamily bathroomLarge Open Reception RoomKitchenLarge Private Rear GardenOn First Floor:1 x Master Bedroom1 x Double room"
"Room in a Shared House, Stratford, E15",E15,£737.00,£170.08,4,3,1,Stratford,£737.00,£737.00,Yes,-,Yes,No,No,Yes,Today,4 Months,Yes,No,No,Furnished,http://openrent.co.uk/property-to-rent/stratford/room-in-a-shared-house-stratford-e15/2099612,,"We are renting a single room in STRATFORD, which is in a great location. It is in a four-bedroom, three-toilet shared house with one shared shower.Preferably females.WE HAVE TWO CATS IN THE HOUSE.Current tenants are all Europeans: Portugal, Latvia, and Lithuania.This property benefits from garden access, a big kitchen, and a big sitting room.The room is furnished.Stratford/Maryland is about 10 minutes walk.Viewing is highly recommended.For more info and photos, please get in touch."
